problem,model,strategy,success,time_s,tokens,error_message
inorder_traversal,local-stub,zero_shot,True,0.0010063648223876953,55,
inorder_traversal,starcoder-1b,zero_shot,True,0.250324010848999,49,
inorder_traversal,codet5-small,zero_shot,True,4.757570743560791,1,
inorder_traversal,local-stub,persona,True,4.76837158203125e-05,55,
inorder_traversal,starcoder-1b,persona,True,0.24224233627319336,49,
inorder_traversal,codet5-small,persona,True,4.0172505378723145,3,
inorder_traversal,local-stub,few_shot,True,6.532669067382812e-05,56,
inorder_traversal,starcoder-1b,few_shot,True,0.25037455558776855,49,
inorder_traversal,codet5-small,few_shot,True,3.6945676803588867,23,
inorder_traversal,local-stub,template,True,9.965896606445312e-05,55,
inorder_traversal,starcoder-1b,template,True,0.24006223678588867,49,
inorder_traversal,codet5-small,template,True,3.345946788787842,14,
inorder_traversal,local-stub,cot,True,2.2649765014648438e-05,56,
inorder_traversal,starcoder-1b,cot,True,0.2620236873626709,49,
inorder_traversal,codet5-small,cot,True,0.2559828758239746,1,
